cuda:0
Using device: cuda:0

1 Number of Devices Exists

Episode 1	Average Score: -21.43
Episode 2	Average Score: -11.91
Episode 3	Average Score: -41.23
Episode 4	Average Score: -40.83
Episode 5	Average Score: -79.81
Episode 6	Average Score: -97.22
Episode 7	Average Score: -112.04
Episode 8	Average Score: -128.27
Episode 9	Average Score: -124.03
Episode 10	Average Score: -134.76
Episode 11	Average Score: -134.15
Episode 12	Average Score: -133.57
Episode 13	Average Score: -135.04
Episode 14	Average Score: -125.72
Episode 15	Average Score: -121.66
Episode 16	Average Score: -124.92
Episode 17	Average Score: -122.93
Episode 18	Average Score: -119.92
Episode 19	Average Score: -124.15
Episode 20	Average Score: -117.94
Episode 21	Average Score: -112.64
Episode 22	Average Score: -109.28
Episode 23	Average Score: -106.62
Episode 24	Average Score: -106.68
Episode 25	Average Score: -109.96
Episode 26	Average Score: -111.69
Episode 27	Average Score: -111.27
Episode 28	Average Score: -111.31
Episode 29	Average Score: -116.54
Episode 30	Average Score: -113.65
Episode 31	Average Score: -110.13
Episode 32	Average Score: -108.06
Episode 33	Average Score: -105.16
Episode 34	Average Score: -103.28
Episode 35	Average Score: -103.65
Episode 36	Average Score: -103.43
Episode 37	Average Score: -102.82
Episode 38	Average Score: -100.50
Episode 39	Average Score: -98.44
Episode 40	Average Score: -101.52
Episode 41	Average Score: -102.11
Episode 42	Average Score: -99.98
Episode 43	Average Score: -99.17
Episode 44	Average Score: -97.56
Episode 45	Average Score: -96.99
Episode 46	Average Score: -95.45
Episode 47	Average Score: -94.30
Episode 48	Average Score: -95.91
Episode 49	Average Score: -94.26
Episode 50	Average Score: -94.29
Episode 51	Average Score: -96.63
Episode 52	Average Score: -95.11
Episode 53	Average Score: -93.54
Episode 54	Average Score: -93.87
Episode 55	Average Score: -92.38
Episode 56	Average Score: -93.19
Episode 57	Average Score: -92.35
Episode 58	Average Score: -90.79
Episode 59	Average Score: -90.57
Episode 60	Average Score: -90.55
Episode 61	Average Score: -89.30
Episode 62	Average Score: -89.88
Episode 63	Average Score: -88.68
Episode 64	Average Score: -87.50
Episode 65	Average Score: -86.72
Episode 66	Average Score: -86.21
Episode 67	Average Score: -84.97
Episode 68	Average Score: -84.24
Episode 69	Average Score: -83.81
Episode 70	Average Score: -84.04
Episode 71	Average Score: -83.06
Episode 72	Average Score: -82.71
Episode 73	Average Score: -81.77
Episode 74	Average Score: -81.00
Episode 75	Average Score: -80.49
Episode 76	Average Score: -80.47
Episode 77	Average Score: -80.02
Episode 78	Average Score: -79.14
Episode 79	Average Score: -78.61
Episode 80	Average Score: -77.80
Episode 81	Average Score: -77.60
Episode 82	Average Score: -77.40
Episode 83	Average Score: -77.02
Episode 84	Average Score: -76.10
Episode 85	Average Score: -75.79
Episode 86	Average Score: -74.97
Episode 87	Average Score: -74.22
Episode 88	Average Score: -75.08
Episode 89	Average Score: -75.78
Episode 90	Average Score: -75.81
Episode 91	Average Score: -76.98
Episode 92	Average Score: -77.92
Episode 93	Average Score: -78.87
Episode 94	Average Score: -78.62
Episode 95	Average Score: -78.25
